Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 15.52      0.09     0.09  2186356     0.00     0.00  initializearray(int)
 15.52      0.18     0.09   584400     0.00     0.00  derivedbasis::integrateVmat(potential*, double, double)
 13.79      0.26     0.08 30504411     0.00     0.00  zeroarray(std::complex<double>*, int)
  8.62      0.31     0.05 29660139     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, double const&)
  6.90      0.35     0.04 31578345     0.00     0.00  std::complex<double>::operator=(double)
  5.17      0.38     0.03 15865421     0.00     0.00  std::operator*(std::complex<double> const&, std::complex<double> const&)
  5.17      0.41     0.03 10106145     0.00     0.00  std::complex<double>& std::complex<double>::operator+=<double>(std::complex<double> const&)
  5.17      0.44     0.03  7316950     0.00     0.00  std::operator+(std::complex<double> const&, std::complex<double> const&)
  3.45      0.46     0.02 30363107     0.00     0.00  std::complex<double>::operator*=(double)
  3.45      0.48     0.02 16625107     0.00     0.00  arrayindx(int, int, int, int)
  3.45      0.50     0.02                             __intel_new_memset
  1.72      0.51     0.01  5137530     0.00     0.00  std::operator-(std::complex<double> const&, std::complex<double> const&)
  1.72      0.52     0.01   606914     0.00     0.00  legendrevalues(int, double)
  1.72      0.53     0.01    50148     0.00     0.00  derivedbasis::innerproduct(std::complex<double>*, std::complex<double>*)
  1.72      0.54     0.01    27860     0.00     0.00  transpose(std::complex<double>*, int, int)
  1.72      0.55     0.01     3184     0.00     0.15  derivedbasis::integrateVmat_testconvergence(potential*, double, double, double)
  1.72      0.56     0.01        8     1.25     2.23  wf::deltawf_eigenvector(std::complex<double>*, std::complex<double>, std::complex<double>, std::complex<double>, std::complex<double>)
  1.72      0.57     0.01        2     5.00     8.57  globalbasis::globalbasis(potential*, pulse*, double, double, double, double, double, int, int, double, double)
  1.72      0.58     0.01                             hypot.L
  0.00      0.58     0.00  4882051     0.00     0.00  std::__complex_abs(doublecomplex )
  0.00      0.58     0.00  4882051     0.00     0.00  double std::abs<double>(std::complex<double> const&)
  0.00      0.58     0.00  4870088     0.00     0.00  std::complex<double>::operator/=(double)
  0.00      0.58     0.00  4870024     0.00     0.00  std::complex<double> std::operator/<double>(std::complex<double> const&, double const&)
  0.00      0.58     0.00   612490     0.00     0.00  vector_basischange(int, int, std::complex<double>*, std::complex<double>*)
  0.00      0.58     0.00   612490     0.00     0.00  derivedbasis::evalbasisfuncs(double)
  0.00      0.58     0.00   606914     0.00     0.00  legendrebasis::evalbasisfuncs(double)
  0.00      0.58     0.00   606914     0.00     0.00  legendrebasis::mapfromchildrange(double, double, double)
  0.00      0.58     0.00   585992     0.00     0.00  potential::V(double)
  0.00      0.58     0.00   579568     0.00     0.00  std::complex<double> std::operator*<double>(double const&, std::complex<double> const&)
  0.00      0.58     0.00   194800     0.00     0.00  derivedbasis::integrateVmat(potential*, double, double, int)
  0.00      0.58     0.00   129257     0.00     0.00  std::operator-(std::complex<double> const&)
  0.00      0.58     0.00   101888     0.00     0.00  derivedbasis::Xmatpsi(std::complex<double>*, std::complex<double>*)
  0.00      0.58     0.00    93309     0.00     0.00  std::__complex_exp(doublecomplex )
